Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:34:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:30 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   39    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:30 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:30 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:34:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:31 AM  all    8.33    0.00    0.04    0.42    0.00    0.00    0.00    0.00   91.21
01:34:31 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:31 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:31 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:31 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   16    0.00    0.00    0.00   19.80    0.00    0.00    0.00    0.00   80.20
01:34:31 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   21    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00   99.01
01:34:31 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:31 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:31 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:34:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:32 AM  all    8.34    0.00    0.02    0.00    0.00    0.00    0.00    0.00   91.64
01:34:32 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:32 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:32 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:32 AM   14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:34:32 AM   15    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:34:32 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:32 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   38    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:34:32 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:32 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:34:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:33 AM  all    8.34    0.00    0.04    0.00    0.00    0.00    0.00    0.00   91.62
01:34:33 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:33 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   11    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:34:33 AM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:33 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:33 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:33 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   39    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:33 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:33 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:34:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:34 AM  all    8.36    0.00    0.04    0.00    0.00    0.00    0.00    0.00   91.60
01:34:34 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:34 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:34 AM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:34 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
01:34:34 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:34 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   37    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:34 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   39    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
01:34:34 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:34 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
